,brand,model,transmission,color,odometer_value,year_produced,engine_fuel,engine_has_gas,engine_type,engine_capacity,body_type,has_warranty,state,drivetrain,is_exchangeable,number_of_photos,views,duration_listed_days,price_eur,engine_type_automatic,engine_type_manual,engine_fuel_gasoline,engine_fuel_diesel,engine_fuel_petrol,engine_fuel_hybrid-petrol,engine_fuel_hybrid-diesel
148,Subaru,Impreza,mechanical,silver,0.4877044554591641,-0.7471254193754233,gasoline,0,gasoline,-0.0955241074541198,sedan,0,owned,all,1,1.3344674146362026,-0.30750855289100165,-0.005744453214410714,-0.8781501804183565,0,0,1,0,0,0,0
153,Subaru,Tribeca,automatic,other,-1.1874363362354623,1.0798316539789172,gasoline,0,gasoline,2.26067027392839,suv,0,owned,all,1,-0.6365602858524616,-0.3530654905816778,-0.6202813216507298,1.0493037936406615,0,0,1,0,0,0,0
155,Subaru,Forester,automatic,grey,-1.2900496726900545,1.0798316539789172,gas,1,gasoline,0.6407866367279145,suv,0,owned,all,1,1.0059627978880918,0.5580732632318454,-0.09480776748054391,1.2084382167881789,0,0,1,0,0,0,0
157,Subaru,XV,mechanical,grey,-1.4680881966240906,1.340825521600966,gasoline,0,gasoline,-0.0955241074541198,suv,0,owned,all,1,-0.14380336073029554,-0.3530654905816778,-0.6113749902241166,1.2784991333255087,0,0,1,0,0,0,0
163,Subaru,Legacy,automatic,silver,0.3561488959019945,0.03585618349072258,gasoline,0,gasoline,0.6407866367279145,universal,0,owned,all,0,1.0059627978880918,-0.3302870217363397,-0.44215469311846345,-0.6551389768082221,0,0,1,0,0,0,0
164,Subaru,Outback,automatic,grey,-0.45949557335245705,0.8188377863568685,gasoline,0,gasoline,0.6407866367279145,universal,0,owned,all,1,1.8272243397583685,0.03416847978906955,-0.1660584188934505,0.7546104174415555,0,0,1,0,0,0,0
167,Subaru,Tribeca,automatic,grey,-0.8278511401125319,0.4273469849237956,gasoline,0,gasoline,2.26067027392839,suv,0,owned,all,0,0.3489535643918705,-0.23917314635498743,-0.09480776748054391,0.611246072263612,0,0,1,0,0,0,0
170,Subaru,Forester,mechanical,black,0.09303777678765529,-0.6166284855643991,gasoline,0,gasoline,-0.0955241074541198,suv,0,owned,all,0,2.6484858816286447,0.5125163255411692,0.06550619819849585,0.013894634022180791,0,0,1,0,0,0,0
171,Subaru,Impreza,automatic,blue,-0.5208881678124695,0.4273469849237956,gasoline,0,gasoline,-0.0955241074541198,hatchback,0,owned,all,0,-0.9650649026005722,0.8541933582212405,0.9294203465799878,-0.041858166880352786,0,0,1,0,0,0,0
173,Subaru,Outback,automatic,other,0.7771266864849372,-0.4861315517533747,gasoline,0,gasoline,0.6407866367279145,universal,0,owned,all,0,0.18470125601781515,-0.19361620866431128,0.11894418675817577,-0.4639865165709642,0,0,1,0,0,0,0
175,Subaru,Legacy,mechanical,green,-1.867140060614172,-1.2691131546195207,gasoline,0,gasoline,-0.39004840512693345,universal,0,owned,all,0,-1.1293172109746275,0.30751010593312655,1.5884888721493735,-0.7989829730669461,0,0,1,0,0,0,0
177,Subaru,Forester,mechanical,silver,-0.16042593462582483,0.29685005111277124,gasoline,0,gasoline,0.6407866367279145,sedan,0,owned,all,0,-0.14380336073029554,-0.3302870217363397,-0.48668635025153006,-0.2250459412743917,0,0,1,0,0,0,0
179,Subaru,Outback,mechanical,blue,0.2079734839874358,0.1663531173017469,gasoline,0,gasoline,0.6407866367279145,universal,0,owned,all,1,-0.6365602858524616,0.19361776170643613,3.4231931460317173,0.013894634022180791,0,0,1,0,0,0,0
182,Subaru,Legacy,automatic,green,-0.34548075506957676,-0.7471254193754233,gas,1,gasoline,-0.39004840512693345,universal,0,owned,all,0,-0.30805566910435084,-0.30750855289100165,-0.1304330931869972,-0.7905386361429465,0,0,1,0,0,0,0
185,Subaru,Legacy,mechanical,green,0.09303777678765529,-0.8776223531864477,gasoline,0,gasoline,-0.0955241074541198,universal,0,owned,all,1,-1.293569519348683,-0.3530654905816778,-0.4599673559716901,-0.734785835240413,0,0,1,0,0,0,0
191,Subaru,Forester,automatic,black,-0.363021496343866,0.55784391873482,gasoline,0,gasoline,0.6407866367279145,suv,0,owned,all,0,-0.30805566910435084,-0.3302870217363397,-0.38871670455878354,0.515669842144983,0,0,1,0,0,0,0
192,Subaru,Legacy,automatic,black,-0.30162890188385355,0.29685005111277124,gasoline,0,gasoline,-0.0955241074541198,sedan,0,owned,all,0,0.3489535643918705,-0.011388457901606615,0.181288506744469,-0.11354033946932453,0,0,1,0,0,0,0
193,Subaru,Tribeca,automatic,grey,-0.7489178043782302,0.55784391873482,gasoline,0,gasoline,2.26067027392839,suv,0,owned,all,0,0.5132058727659258,-0.011388457901606615,-0.032463447494250675,0.3165526960645059,0,0,1,0,0,0,0
197,Subaru,Outback,automatic,black,0.005334070416208883,1.0798316539789172,gasoline,0,gasoline,0.6407866367279145,universal,0,owned,all,0,-0.9650649026005722,-0.23917314635498743,-0.005744453214410714,1.3678912273694248,0,0,1,0,0,0,0
199,Subaru,Tribeca,automatic,white,-0.8717029932982552,0.4273469849237956,gasoline,0,gasoline,2.26067027392839,suv,0,owned,all,0,-0.6365602858524616,-0.12528080212829704,-0.15715208746683715,0.603281386420393,0,0,1,0,0,0,0
202,Subaru,Justy,mechanical,black,0.09303777678765529,0.6883408525458442,gasoline,0,gasoline,-1.5681455958181885,hatchback,0,owned,front,0,-0.800812594226517,-0.0341669267469447,0.07441252962510916,-0.11354033946932453,0,0,1,0,0,0,0
205,Subaru,XV,automatic,silver,-1.2809109464861497,1.0798316539789172,gasoline,0,gasoline,-0.0955241074541198,suv,0,owned,all,0,-1.1293172109746275,-0.3302870217363397,-0.21059007602651708,1.097091908699976,0,0,1,0,0,0,0
206,Subaru,Outback,automatic,other,-1.6434956093669835,1.4713224554119901,gasoline,0,gasoline,0.6407866367279145,suv,0,owned,all,0,-0.6365602858524616,-0.3302870217363397,-0.21059007602651708,4.553765564657058,0,0,1,0,0,0,0
209,Subaru,Impreza,mechanical,blue,-0.7401474337410856,0.1663531173017469,gasoline,0,gasoline,-0.0955241074541198,sedan,0,owned,all,0,-0.30805566910435084,-0.3530654905816778,-0.31746605314587695,0.4599170412424494,0,0,1,0,0,0,0
211,Subaru,Legacy,mechanical,grey,-0.15175203806568877,0.55784391873482,gasoline,0,gasoline,0.6407866367279145,sedan,0,owned,all,0,-0.14380336073029554,-0.23917314635498743,0.09222519247833581,0.5077051563017639,0,0,1,0,0,0,0
212,Subaru,Impreza,mechanical,black,-0.4331844614410231,0.29685005111277124,gasoline,0,gasoline,0.6407866367279145,sedan,0,owned,all,0,-1.4578218277227382,-0.3302870217363397,-0.18387108174667713,0.7307163599118983,0,0,1,0,0,0,0
213,Subaru,Outback,automatic,other,-1.9855400642156245,1.862813256845063,gasoline,0,gasoline,0.6407866367279145,universal,0,owned,all,0,-0.14380336073029554,-0.3530654905816778,-0.24621540173297035,3.199768971309814,0,0,1,0,0,0,0
214,Subaru,Legacy,mechanical,red,0.3561488959019945,-1.7911008898636178,gasoline,0,gasoline,-0.0955241074541198,sedan,0,owned,all,0,0.5132058727659258,-0.3302870217363397,-0.19277741317329045,-0.8622208087319183,0,0,1,0,0,0,0
215,Subaru,Forester,automatic,black,0.09303777678765529,0.55784391873482,gasoline,0,gasoline,0.6407866367279145,suv,0,owned,all,0,0.18470125601781515,-0.1480592709736351,-0.05027611034747732,0.3323227740340798,0,0,1,0,0,0,0
216,Subaru,Forester,automatic,green,-0.09528839190375157,-0.6166284855643991,gasoline,0,gasoline,0.6407866367279145,universal,0,owned,all,0,-0.6365602858524616,-0.3302870217363397,-0.21059007602651708,-0.4639865165709642,0,0,1,0,0,0,0
217,Subaru,Outback,automatic,silver,-0.5208881678124695,0.1663531173017469,gasoline,0,gasoline,0.6407866367279145,universal,0,owned,all,0,-0.4723079774784062,-0.2847300840456636,-0.1393394246136105,-0.3365515430794589,0,0,1,0,0,0,0
220,Subaru,Outback,automatic,black,0.01763013004948567,0.8188377863568685,gasoline,0,gasoline,0.6407866367279145,universal,0,owned,all,0,0.0204489476437598,-0.3302870217363397,-0.19277741317329045,1.0333744219542234,0,0,1,0,0,0,0
221,Subaru,Forester,mechanical,blue,1.8736335050233088,-0.35563461794235035,gasoline,0,gasoline,0.6407866367279145,universal,0,owned,all,0,-1.293569519348683,0.9453072336025928,1.0362963236993477,-0.6232802334353458,0,0,1,0,0,0,0
